"No","MatchedAgainst","Category","MatchType","AdvisoryID","Title","Severity","CVSS","Published","CVEs","MatchedFixVersions","MatchedRowsDetail","PossibleBundleRowsDetail","Link","CveLookupInfo"
"11","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23664","VMSA-2023-0019:VMware Tools updates address a SAML Token Signature Bypass Vulnerability","HIGH","","29 August 2023","CVE-2023-20900","","VMware Tools | 12.x.x, 11.x.x, 10.3.x | Windows | CVE-2023-20900 | 7.1 | important | 12.3.0 | None | None <br> VMware Tools | 10.3.x | Linux | CVE-2023-20900 | 7.1 | important | [1] 10.3.26 | None | None <br> [2] VMware Tools (open-vm-tools) | 12.x.x, 11.x.x, 10.3.x | Linux | CVE-2023-20900 | 7.1 | important | [3] 12.3.0 | None | None","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23664",""
"12","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23675","VMSA-2023-0013:VMware Tools update addresses Authentication Bypass vulnerability","LOW","","11 June 2023","CVE-2023-20867","","VMware Tools | 12.x.x, 11.x.x, 10.3.x | Any | CVE-2023-20867 | 3.9 | low | [1] 12.2.5 | None | vSphere Security: Proactive and Continuous <br> VMware Tools | 10.3.x | Linux | CVE-2023-20867 | 3.9 | low | [2] 10.3.26 | None | vSphere Security: Proactive and Continuous","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23675",""
"13","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23647","VMSA-2022-0029:VMware Tools for Windows update addresses a denial-of-service vulnerability","LOW","","27 November 2022","CVE-2022-31693","","VMware Tools for Windows | 12.x.y, 11.x.y and 10.x.y | Windows | CVE-2022-31693 | 3.3 | low | 12.1.5 | None | None","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23647",""
"14","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23642","VMSA-2022-0024:VMware Tools update addresses a local privilege escalation vulnerability","HIGH","","21 August 2022","CVE-2022-31676","","VMware Tools | 12.x.y, 11.x.y and 10.x.y | Windows | CVE-2022-31676 | 7.0 | important | 12.1.0 | None | None <br> VMware Tools (open-vm-tools) | 12.x.y, 11.x.y and 10.x.y | Linux | CVE-2022-31676 | 7.0 | important | 12.1.0** | None | None <br> VMware Tools | 10.x.y | Linux | CVE-2022-31676 | 7.0 | important | 10.3.25 | None | None","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23642",""
"15","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23631","VMSA-2022-0015:VMware Tools for Windows update addresses an XML External Entity (XXE) vulnerability","MEDIUM","","22 May 2022","CVE-2022-22977","","VMware Tools for Windows | 12.0.0, 11.x.y and 10.x.y | Windows | CVE-2022-22977 | 5.8 | moderate | 12.0.5 | None | None","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23631",""
"16","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23621","VMSA-2022-0007:VMware Tools for Windows update addresses an uncontrolled search path vulnerability","MEDIUM","","27 February 2022","CVE-2022-22943","","VMware Tools for Windows | 11.x.y and 10.x.y | Windows | CVE-2022-22943 | 5.6 | moderate | 12.0.0 | None | None","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23621",""
"17","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23605","VMSA-2021-0013:VMware Tools, VMRC and VMware App Volumes update addresses a local privilege escalation vulnerability","HIGH","","20 June 2021","CVE-2021-21999","","VMware Tools | 11.3.0 | Any | CVE-2021-21999 |  |  | N/A | N/A | Unaffected <br> VMware Tools | 11.x.y | Windows | CVE-2021-21999 | 7.8 | important | 11.2.6 | None | None <br> VMware Tools | 10.x.y | Any | CVE-2021-21999 |  |  | N/A | N/A | Unaffected","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23605",""
"18","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23603","VMSA-2021-0011:VMware Tools for Windows update addresses a denial-of-service vulnerability","LOW","","15 June 2021","CVE-2021-21997","","VMware Tools for Windows | 11.x.y and prior | Windows | CVE-2021-21997 | 3.3 | low | 11.3.0 | None | None","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23603",""
"19","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23580","VMSA-2020-0014:VMware Tools for macOS update addresses a denial-of-service vulnerability","LOW","","16 June 2020","CVE-2020-3972","","VMware Tools for macOS | 11.x.x and prior | macOS | CVE-2020-3972 | 3.3 | low | 11.1.1 | None | None","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23580",""
"20","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23569","VMSA-2020-0002:VMware Tools workaround addresses a local privilege escalation vulnerability","HIGH","","07 January 2020","CVE-2020-3941","","VMware Tools | 11.x.y | Any | CVE-2020-3941 |  |  | N/A | N/A | Not affected <br> VMware Tools | 10.x.y | Windows | CVE-2020-3941 | 7.8 | important | 11.0.0 * or 11.0.1 or 11.0.5 | KB76654 | None <br> VMware Tools | 10.x.y | Linux | CVE-2020-3941 |  |  | N/A | N/A | Not affected","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23569",""
"21","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23554","VMSA-2019-0009:VMware Tools and Workstation updates address out of bounds read and use-after-free vulnerabilities.","HIGH","7.1-8.5","04 June 2019","CVE-2019-5522; CVE-2019-5525","","VMware Tools | 10.2.x/10.3.x | Windows | CVE-2019-5522 | 7.1 | Important | 10.3.10 | None | None <br> VMware Tools | N/A | Linux | CVE-2019-5522 |  |  | N/A | N/A | not affected","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23554",""
"22","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23543","VMSA-2018-0017:VMware Tools update addresses an out-of-bounds read vulnerability","HIGH","","10 July 2018","CVE-2018-6969","","VMware Tools | 3 |  |  |  |  | N/A | N/A | N/A <br> VMware Tools | 10 |  |  |  |  | N/A | N/A | N/A <br> VMware Tools | 10.3.0 |  |  |  |  | N/A | N/A | N/A <br> VMware Tools | 10.3.2 |  |  |  |  | N/A | N/A | N/A","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23543",""
"23","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23532","VMSA-2018-0003:vRealize Operations for Horizon, vRealize Operations for Published Applications, Workstation, Horizon View Client and Tools updates resolve multiple security vulnerabilities","HIGH","","02 January 2018","CVE-2017-4945; CVE-2017-4946; CVE-2017-4948","","VMware Tools | 10.2.0 |  |  |  |  | N/A | N/A | N/A","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23532",""
"24","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23509","VMSA-2017-0013:VMware vCenter Server and Tools updates resolve multiple security vulnerabilities","MEDIUM","","25 July 2017","CVE-2017-4921; CVE-2017-4922; CVE-2017-4923; CVE-2015-5191","","VMware Tools | 3 |  |  |  |  | N/A | N/A | N/A <br> VMware Tools | 10.0 |  |  |  |  | N/A | N/A | N/A <br> VMware Tools | 10.0.9 |  |  |  |  | N/A | N/A | N/A","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23509",""
"25","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23494","VMSA-2016-0017:VMware product updates address multiple information disclosure issues","MEDIUM","","23 October 2016","CVE-2016-5328; CVE-2016-5329","","VMware Tools | 3 |  |  |  |  | N/A | N/A | N/A <br> VMware Tools | 9 |  |  |  |  | N/A | N/A | N/A <br> VMware Tools | 10.1.0 |  |  |  |  | N/A | N/A | N/A","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23494",""
"26","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23492","VMSA-2016-0010:VMware product updates address multiple HIGH security issues","HIGH","","02 August 2016","CVE-2016-5330; CVE-2016-5331","","VMware Tools | 3 |  |  |  |  | N/A | N/A | N/A <br> VMware Tools | 10 |  |  |  |  | N/A | N/A | N/A <br> VMware Tools | 10.0.6 |  |  |  |  | N/A | N/A | N/A <br> VMware Tools | 7 |  |  |  |  | N/A | N/A | N/A","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23492",""
"27","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23472","VMSA-2016-0001:VMware ESXi, Fusion, Player, and Workstation updates address HIGH guest privilege escalation vulnerability","HIGH","","05 January 2016","CVE-2015-6933","","VMware Tools | 10.0.0 |  |  |  |  | N/A | N/A | N/A","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23472",""
"28","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23435","VMSA-2012-0011:VMware hosted products and ESXi and ESX patches address security issues","CRITICAL","","12 June 2012","CVE-2012-3288; CVE-2012-3289","","VMware Tools | 5 |  |  |  |  | N/A | N/A | N/A","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23435",""
"29","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23433","VMSA-2012-0009:VMware Workstation, Player, ESXi and ESX patches address CRITICAL security issues","CRITICAL","","01 May 2012","CVE-2012-1516; CVE-2012-1517; CVE-2012-2448; CVE-2012-2449; CVE-2012-2450","","VMware Tools | 5 |  |  |  |  | N/A | N/A | N/A","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23433",""
"30","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23431","VMSA-2012-0007:VMware hosted products and ESXi/ESX patches address privilege escalation","HIGH","","10 April 2012","CVE-2012-1518","","VMware Tools | 5 |  |  |  |  | N/A | N/A | N/A","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23431",""
"31","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23430","VMSA-2012-0006:VMware ESXi and ESX address several security issues","HIGH","","27 March 2012","CVE-2012-1515; CVE-2011-2482; CVE-2011-3191; CVE-2011-4348; CVE-2011-4862","","VMware Tools | 5 |  |  |  |  | N/A | N/A | N/A","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23430",""
"32","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23408","VMSA-2012-0005:VMware vCenter Server, Orchestrator, Update Manager, vShield, vSphere Client, ESXi and ESX address several security issues","HIGH","","13 March 2012","CVE-2012-1508; CVE-2012-1509; CVE-2012-1510; CVE-2012-1512; CVE-2012-1513; CVE-2012-1514; CVE-2011-3190; CVE-2011-3375; CVE-2012-0022; CVE-2010-0405","","VMware Tools | 5 |  |  |  |  | N/A | N/A | N/A","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23408",""
"33","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23426","VMSA-2011-0011:Hosted product updates address a remote code execution vulnerability in the way UDF file systems are handled","HIGH","","02 October 2011","CVE-2011-3868","","VMware Tools | 5 |  |  |  |  | N/A | N/A | N/A","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23426",""
"34","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23424","VMSA-2011-0009:VMware hosted product updates, ESX patches and VI Client update resolve multiple security issue","HIGH","","31 May 2011","CVE-2009-4536; CVE-2010-1188; CVE-2009-3080; CVE-2010-2240; CVE-2011-2146; CVE-2011-1787; CVE-2011-2145; CVE-2011-2217","","VMware Tools | 5 |  |  |  |  | N/A | N/A | N/A","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23424",""
"35","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23421","VMSA-2011-0006:VMware vmrun utility local privilege escalation","HIGH","","27 March 2011","CVE-2011-1126","","VMware Tools | 5 |  |  |  |  | N/A | N/A | N/A","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23421",""
"36","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23404","VMSA-2010-0018:VMware hosted products and ESX patches resolve multiple security issues","HIGH","","30 November 2010","CVE-2010-4295; CVE-2010-4296; CVE-2010-4297; CVE-2010-4294","","VMware Tools | 5 |  |  |  |  | N/A | N/A | N/A","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23404",""
"37","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23412","VMSA-2010-0014:VMware Workstation, Player, and ACE address several security issues.","MEDIUM","","21 September 2010","CVE-2010-3277; CVE-2010-1205; CVE-2010-0205; CVE-2010-2249; CVE-2010-0434; CVE-2010-0425","","VMware Tools | 5 |  |  |  |  | N/A | N/A | N/A","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23412",""
"38","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23377","VMSA-2010-0007:VMware hosted products, vCenter Server and ESX patches resolve multiple security issues","HIGH","","07 April 2010","CVE-2010-1142; CVE-2010-1140; CVE-2009-2042; CVE-2009-1564; CVE-2009-1565; CVE-2009-3732; CVE-2009-3707; CVE-2010-1138; CVE-2010-1139; CVE-2010-1141","","VMware Tools | 5 |  |  |  |  | N/A | N/A | N/A","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23377",""
"39","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA38017","VMSA-2026-0006.1: VMware ESX, vCenter, Workstation, and Fusion updates address multiple vulnerabilities (CVE-2026-59309, CVE-2026-59310, CVE-2026-47876, CVE-2026-41703, CVE-2026-41709)","CRITICAL","2.7-9.8","29 July 2026","CVE-2026-59309; CVE-2026-59310; CVE-2026-47876; CVE-2026-41703; CVE-2026-41709","","VMware Cloud Foundation, VMware vSphere Foundation (vCenter) | 9.1.x.x | Any | CVE-2026-59309, CVE-2026-59310 | 9.8 | Critical | [1] 9.1.0.0300 | None | FAQ <br> VMware Cloud Foundation, VMware vSphere Foundation (vCenter) | 9.0.x.x | Any | CVE-2026-59309, CVE-2026-59310 | 9.8 | Critical | 9.0.2.0100 | None | FAQ <br> VMware Cloud Foundation (vCenter) | 5.x | Any | CVE-2026-59309, CVE-2026-59310 | 9.8 | Critical | Async patch to 8.0 U3k | None | Async Patching Guide: KB88287 <br> VMware Cloud Foundation, VMware vSphere Foundation (ESX) | 9.1.x.x | Any | CVE-2026-47876 | 9.3 | Critical | ESXi-9.1.0.0200-25557999 | None | FAQ <br> VMware Cloud Foundation, VMware vSphere Foundation (ESX) | 9.0.x.x | Any | CVE-2026-47876 | 9.3 | Critical | ESXi-9.0.2.0100-25595025 | None | FAQ <br> VMware Cloud Foundation (ESX) | 5.x | Any | CVE-2026-47876 | 9.3 | Critical | Async Patching Guide: KB88287 | None | FAQ <br> VMware Cloud Foundation, VMware vSphere Foundation (ESX) | 9.1.x.x | Any | CVE-2026-41703 | 7.6 | Important | ESXi-9.1.0.0-25370933 | None | None <br> VMware Cloud Foundation, VMware vSphere Foundation (ESX) | 9.0.x.x | Any | CVE-2026-41703 | 7.6 | Important | ESXi-9.0.2.0100-25595025 | None | None <br> VMware Cloud Foundation (ESX) | 5.x | Any | CVE-2026-41703 | 7.6 | Important | 5.2.3 | None | Async Patching Guide: KB88287 <br> VMware Cloud Foundation, VMware vSphere Foundation (ESX) | 9.1.x.x | Any | CVE-2026-41709 | 2.7 | Low | ESXi-9.1.0.0-25370933 | None | None <br> VMware Cloud Foundation, VMware vSphere Foundation (ESX) | 9.0.x.x | Any | CVE-2026-41709 | 2.7 | Low | ESXi-9.0.2.0100-25595025 | None | None <br> VMware Cloud Foundation (ESX) | 5.x | Any | CVE-2026-41709 | 2.7 | Low | 5.2.4 | None | Async Patching Guide: KB88287","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/38017",""
