"No","CVE","AdvisoryIDs","AdvisoryCount"
"99","CVE-2008-0005","VCDSA23387","1"
"100","CVE-2008-0007","VCDSA23358","1"
"101","CVE-2008-0062","VCDSA23372","1"
"102","CVE-2008-0063","VCDSA23372","1"
"103","CVE-2008-0085","VCDSA23418","1"
"104","CVE-2008-0086","VCDSA23418","1"
"105","CVE-2008-0106","VCDSA23418","1"
"106","CVE-2008-0107","VCDSA23418","1"
"107","CVE-2008-0553","VCDSA23372","1"
"108","CVE-2008-0598","VCDSA23390","1"
"109","CVE-2008-0657","VCDSA23357","1"
"110","CVE-2008-0888","VCDSA23372","1"
"111","CVE-2008-0923","VCDSA23368","1"
"112","CVE-2008-0948","VCDSA23372","1"
"113","CVE-2008-0960","VCDSA23364; VCDSA23360","2"
"114","CVE-2008-0967","VCDSA23372","1"
"115","CVE-2008-1105","VCDSA23358","1"
"116","CVE-2008-1185","VCDSA23357","1"
"117","CVE-2008-1186","VCDSA23357","1"
"118","CVE-2008-1187","VCDSA23357","1"
"119","CVE-2008-1188","VCDSA23357","1"
"120","CVE-2008-1189","VCDSA23357","1"
"121","CVE-2008-1190","VCDSA23357","1"
"122","CVE-2008-1191","VCDSA23357","1"
"123","CVE-2008-1192","VCDSA23357","1"
"124","CVE-2008-1193","VCDSA23357","1"
"125","CVE-2008-1194","VCDSA23357","1"
"126","CVE-2008-1195","VCDSA23357","1"
"127","CVE-2008-1196","VCDSA23357","1"
"128","CVE-2008-1232","VCDSA23392; VCDSA23396","2"
"129","CVE-2008-1340","VCDSA23368","1"
"130","CVE-2008-1361","VCDSA23368","1"
"131","CVE-2008-1362","VCDSA23368","1"
"132","CVE-2008-1363","VCDSA23368","1"
"133","CVE-2008-1364","VCDSA23368","1"
"134","CVE-2008-1367","VCDSA23358","1"
"135","CVE-2008-1372","VCDSA23366","1"
"136","CVE-2008-1375","VCDSA23358","1"
"137","CVE-2008-1382","VCDSA23384","1"
"138","CVE-2008-1447","VCDSA23361","1"
"139","CVE-2008-1669","VCDSA23358","1"
"140","CVE-2008-1721","VCDSA23392","1"
"141","CVE-2008-1806","VCDSA23361","1"
"142","CVE-2008-1807","VCDSA23361","1"
"143","CVE-2008-1808","VCDSA23361","1"
"144","CVE-2008-1887","VCDSA23392","1"
"145","CVE-2008-1927","VCDSA23360","1"
"146","CVE-2008-1947","VCDSA23392; VCDSA23396","2"
"147","CVE-2008-2086","VCDSA23390","1"
"148","CVE-2008-2097","VCDSA23372","1"
"149","CVE-2008-2098","VCDSA23371","1"
"150","CVE-2008-2099","VCDSA23371","1"
"151","CVE-2008-2100","VCDSA23372","1"
"152","CVE-2008-2101","VCDSA23361","1"
"153","CVE-2008-2136","VCDSA23390","1"
"154","CVE-2008-2233","VCDSA23362","1"
"155","CVE-2008-2234","VCDSA23362","1"
"156","CVE-2008-2292","VCDSA23360","1"
"157","CVE-2008-2315","VCDSA23392","1"
"158","CVE-2008-2327","VCDSA23364","1"
"159","CVE-2008-2370","VCDSA23392; VCDSA23396","2"
"160","CVE-2008-2712","VCDSA23399","1"
"161","CVE-2008-2812","VCDSA23390","1"
"162","CVE-2008-3103","VCDSA23363","1"
"163","CVE-2008-3104","VCDSA23363","1"
"164","CVE-2008-3105","VCDSA23363","1"
"165","CVE-2008-3106","VCDSA23363","1"
"166","CVE-2008-3107","VCDSA23363","1"
"167","CVE-2008-3108","VCDSA23363","1"
"168","CVE-2008-3109","VCDSA23363","1"
"169","CVE-2008-3110","VCDSA23363","1"
"170","CVE-2008-3111","VCDSA23363","1"
"171","CVE-2008-3112","VCDSA23363","1"
"172","CVE-2008-3113","VCDSA23363","1"
"173","CVE-2008-3114","VCDSA23363","1"
"174","CVE-2008-3115","VCDSA23363","1"
"175","CVE-2008-3142","VCDSA23392","1"
"176","CVE-2008-3143","VCDSA23392","1"
"177","CVE-2008-3144","VCDSA23392","1"
"178","CVE-2008-3275","VCDSA23390","1"
"179","CVE-2008-3281","VCDSA23364","1"
"180","CVE-2008-3432","VCDSA23399","1"
"181","CVE-2008-3514","VCDSA23359","1"
"182","CVE-2008-3525","VCDSA23390","1"
"183","CVE-2008-3528","VCDSA23392","1"
"184","CVE-2008-3529","VCDSA23364","1"
"185","CVE-2008-3691","VCDSA23361","1"
"186","CVE-2008-3692","VCDSA23361","1"
"187","CVE-2008-3693","VCDSA23361","1"
"188","CVE-2008-3694","VCDSA23361","1"
"189","CVE-2008-3695","VCDSA23361","1"
"190","CVE-2008-3696","VCDSA23361","1"
"191","CVE-2008-3697","VCDSA23361","1"
"192","CVE-2008-3698","VCDSA23361","1"
"193","CVE-2008-3761","VCDSA23400","1"
"194","CVE-2008-3825","VCDSA23418","1"
"195","CVE-2008-3916","VCDSA23374; VCDSA23397","2"
"196","CVE-2008-4101","VCDSA23399","1"
"197","CVE-2008-4210","VCDSA23390","1"
"198","CVE-2008-4225","VCDSA23382","1"
"199","CVE-2008-4226","VCDSA23382","1"
"200","CVE-2008-4278","VCDSA23363","1"
"201","CVE-2008-4279","VCDSA23363","1"
"202","CVE-2008-4281","VCDSA23365","1"
"203","CVE-2008-4307","VCDSA23392","1"
"204","CVE-2008-4309","VCDSA23373; VCDSA23382","2"
"205","CVE-2008-4316","VCDSA23374","1"
"206","CVE-2008-4552","VCDSA23374","1"
"207","CVE-2008-4864","VCDSA23392","1"
"208","CVE-2008-4914","VCDSA23382","1"
"209","CVE-2008-4915","VCDSA23365","1"
"210","CVE-2008-4916","VCDSA23383; VCDSA23400","2"
"211","CVE-2008-4917","VCDSA23366","1"
"212","CVE-2008-5029","VCDSA23379","1"
"213","CVE-2008-5031","VCDSA23392","1"
"214","CVE-2008-5077","VCDSA23399","1"
"215","CVE-2008-5300","VCDSA23379","1"
"216","CVE-2008-5302","VCDSA23411","1"
"217","CVE-2008-5303","VCDSA23411","1"
"218","CVE-2008-5339","VCDSA23390","1"
"219","CVE-2008-5340","VCDSA23390","1"
"220","CVE-2008-5341","VCDSA23390","1"
"221","CVE-2008-5342","VCDSA23390","1"
"222","CVE-2008-5343","VCDSA23390","1"
"223","CVE-2008-5344","VCDSA23390","1"
"224","CVE-2008-5345","VCDSA23390","1"
"225","CVE-2008-5346","VCDSA23390","1"
"226","CVE-2008-5347","VCDSA23390","1"
"227","CVE-2008-5348","VCDSA23390","1"
"228","CVE-2008-5349","VCDSA23390","1"
"229","CVE-2008-5350","VCDSA23390","1"
"230","CVE-2008-5351","VCDSA23390","1"
"231","CVE-2008-5352","VCDSA23390","1"
"232","CVE-2008-5353","VCDSA23390","1"
"233","CVE-2008-5354","VCDSA23390","1"
"234","CVE-2008-5355","VCDSA23390","1"
"235","CVE-2008-5356","VCDSA23390","1"
"236","CVE-2008-5357","VCDSA23390","1"
"237","CVE-2008-5358","VCDSA23390","1"
"238","CVE-2008-5359","VCDSA23390","1"
"239","CVE-2008-5360","VCDSA23390","1"
"240","CVE-2008-5416","VCDSA23418","1"
"241","CVE-2008-5515","VCDSA23392","1"
"242","CVE-2008-5700","VCDSA23392","1"
"243","CVE-2008-7270","VCDSA23428","1"
"244","CVE-2009-0025","VCDSA23399","1"
"245","CVE-2009-0028","VCDSA23392","1"
"246","CVE-2009-0033","VCDSA23392","1"
"247","CVE-2009-0034","VCDSA23386","1"
"248","CVE-2009-0037","VCDSA23386","1"
"249","CVE-2009-0040","VCDSA23387; VCDSA23384","2"
"250","CVE-2009-0115","VCDSA23374","1"
"251","CVE-2009-0159","VCDSA23392","1"
"252","CVE-2009-0177","VCDSA23400","1"
"253","CVE-2009-0199","VCDSA23401","1"
"254","CVE-2009-0269","VCDSA23392","1"
"255","CVE-2009-0322","VCDSA23392","1"
"256","CVE-2009-0518","VCDSA23400","1"
"257","CVE-2009-0580","VCDSA23392","1"
"258","CVE-2009-0590","VCDSA23414; VCDSA23378; VCDSA23374","3"
"259","CVE-2009-0675","VCDSA23392","1"
"260","CVE-2009-0676","VCDSA23392","1"
"261","CVE-2009-0692","VCDSA23390","1"
"262","CVE-2009-0696","VCDSA23392","1"
"263","CVE-2009-0745","VCDSA23392","1"
"264","CVE-2009-0746","VCDSA23392","1"
"265","CVE-2009-0747","VCDSA23392","1"
"266","CVE-2009-0748","VCDSA23392","1"
"267","CVE-2009-0778","VCDSA23392","1"
"268","CVE-2009-0781","VCDSA23392","1"
"269","CVE-2009-0783","VCDSA23392","1"
"270","CVE-2009-0787","VCDSA23392","1"
"271","CVE-2009-0798","VCDSA23376","1"
"272","CVE-2009-0834","VCDSA23392","1"
"273","CVE-2009-0844","VCDSA23402; VCDSA23385","2"
"274","CVE-2009-0845","VCDSA23402; VCDSA23385","2"
"275","CVE-2009-0846","VCDSA23402; VCDSA23385","2"
"276","CVE-2009-0908","VCDSA23400","1"
"277","CVE-2009-0909","VCDSA23400","1"
"278","CVE-2009-0910","VCDSA23400","1"
"279","CVE-2009-1072","VCDSA23392","1"
"280","CVE-2009-1093","VCDSA23395; VCDSA23392; VCDSA23390","3"
"281","CVE-2009-1094","VCDSA23395; VCDSA23392; VCDSA23390","3"
"282","CVE-2009-1095","VCDSA23395; VCDSA23392; VCDSA23390","3"
"283","CVE-2009-1096","VCDSA23395; VCDSA23392; VCDSA23390","3"
"284","CVE-2009-1097","VCDSA23395; VCDSA23392; VCDSA23390","3"
"285","CVE-2009-1098","VCDSA23395; VCDSA23392; VCDSA23390","3"
"286","CVE-2009-1099","VCDSA23395; VCDSA23392; VCDSA23390","3"
"287","CVE-2009-1100","VCDSA23395; VCDSA23392; VCDSA23390","3"
"288","CVE-2009-1101","VCDSA23395; VCDSA23392; VCDSA23390","3"
"289","CVE-2009-1102","VCDSA23395; VCDSA23392; VCDSA23390","3"
"290","CVE-2009-1103","VCDSA23395; VCDSA23392; VCDSA23390","3"
"291","CVE-2009-1104","VCDSA23395; VCDSA23392; VCDSA23390","3"
"292","CVE-2009-1105","VCDSA23395; VCDSA23392; VCDSA23390","3"
"293","CVE-2009-1106","VCDSA23395; VCDSA23392; VCDSA23390","3"
"294","CVE-2009-1107","VCDSA23395; VCDSA23392; VCDSA23390","3"
"295","CVE-2009-1146","VCDSA23400","1"
"296","CVE-2009-1147","VCDSA23400","1"
"297","CVE-2009-1185","VCDSA23386","1"
"298","CVE-2009-1189","VCDSA23374","1"
"299","CVE-2009-1192","VCDSA23392","1"
"300","CVE-2009-1244","VCDSA23383","1"
"301","CVE-2009-1252","VCDSA23392","1"
"302","CVE-2009-1336","VCDSA23392","1"
"303","CVE-2009-1337","VCDSA23379; VCDSA23392","2"
"304","CVE-2009-1377","VCDSA23378; VCDSA23374","2"
"305","CVE-2009-1378","VCDSA23378; VCDSA23374","2"
"306","CVE-2009-1379","VCDSA23378; VCDSA23374","2"
"307","CVE-2009-1384","VCDSA23418; VCDSA23378","2"
"308","CVE-2009-1385","VCDSA23379; VCDSA23392","2"
"309","CVE-2009-1386","VCDSA23378; VCDSA23374","2"
"310","CVE-2009-1387","VCDSA23378; VCDSA23374","2"
"311","CVE-2009-1388","VCDSA23392","1"
"312","CVE-2009-1389","VCDSA23392","1"
"313","CVE-2009-1439","VCDSA23392","1"
"314","CVE-2009-1523","VCDSA23381","1"
"315","CVE-2009-1524","VCDSA23381","1"
"316","CVE-2009-1563","VCDSA23394","1"
"317","CVE-2009-1564","VCDSA23377","1"
"318","CVE-2009-1565","VCDSA23377","1"
"319","CVE-2009-1630","VCDSA23392","1"
"320","CVE-2009-1633","VCDSA23392","1"
"321","CVE-2009-1805","VCDSA23384","1"
"322","CVE-2009-1887","VCDSA23373","1"
"323","CVE-2009-1888","VCDSA23376","1"
"324","CVE-2009-1893","VCDSA23390","1"
"325","CVE-2009-1895","VCDSA23379; VCDSA23392","2"
"326","CVE-2009-2042","VCDSA23377","1"
"327","CVE-2009-2267","VCDSA23391","1"
"328","CVE-2009-2277","VCDSA23375","1"
"329","CVE-2009-2404","VCDSA23394","1"
"330","CVE-2009-2406","VCDSA23392","1"
"331","CVE-2009-2407","VCDSA23392","1"
"332","CVE-2009-2408","VCDSA23394","1"
"333","CVE-2009-2409","VCDSA23414; VCDSA23413; VCDSA23378; VCDSA23394","4"
"334","CVE-2009-2414","VCDSA23392","1"
"335","CVE-2009-2416","VCDSA23392","1"
"336","CVE-2009-2417","VCDSA23392","1"
"337","CVE-2009-2625","VCDSA23395; VCDSA23392","2"
"338","CVE-2009-2628","VCDSA23401","1"
"339","CVE-2009-2670","VCDSA23395; VCDSA23392","2"
"340","CVE-2009-2671","VCDSA23395; VCDSA23392","2"
"341","CVE-2009-2672","VCDSA23395; VCDSA23392","2"
"342","CVE-2009-2673","VCDSA23395; VCDSA23392","2"
"343","CVE-2009-2675","VCDSA23395; VCDSA23392","2"
"344","CVE-2009-2676","VCDSA23395; VCDSA23392","2"
"345","CVE-2009-2692","VCDSA23379; VCDSA23392","2"
"346","CVE-2009-2693","VCDSA23418","1"
"347","CVE-2009-2695","VCDSA23378; VCDSA23374","2"
"348","CVE-2009-2698","VCDSA23379; VCDSA23392","2"
"349","CVE-2009-2716","VCDSA23395; VCDSA23392","2"
"350","CVE-2009-2718","VCDSA23395; VCDSA23392","2"
"351","CVE-2009-2719","VCDSA23395; VCDSA23392","2"
"352","CVE-2009-2720","VCDSA23395; VCDSA23392","2"
"353","CVE-2009-2721","VCDSA23395; VCDSA23392","2"
"354","CVE-2009-2722","VCDSA23395; VCDSA23392","2"
"355","CVE-2009-2723","VCDSA23395; VCDSA23392","2"
"356","CVE-2009-2724","VCDSA23395; VCDSA23392","2"
"357","CVE-2009-2730","VCDSA23392","1"
"358","CVE-2009-2813","VCDSA23376","1"
"359","CVE-2009-2847","VCDSA23392","1"
"360","CVE-2009-2848","VCDSA23379; VCDSA23392","2"
"361","CVE-2009-2849","VCDSA23374","1"
"362","CVE-2009-2901","VCDSA23418","1"
"363","CVE-2009-2902","VCDSA23418","1"
"364","CVE-2009-2904","VCDSA23374","1"
"365","CVE-2009-2905","VCDSA23374","1"
"366","CVE-2009-2906","VCDSA23376","1"
"367","CVE-2009-2908","VCDSA23378; VCDSA23374","2"
"368","CVE-2009-2910","VCDSA23378","1"
"369","CVE-2009-2948","VCDSA23376","1"
"370","CVE-2009-2968","VCDSA23388","1"
"371","CVE-2009-3002","VCDSA23379","1"
"372","CVE-2009-3080","VCDSA23424; VCDSA23378","2"
"373","CVE-2009-3228","VCDSA23378; VCDSA23374","2"
"374","CVE-2009-3245","VCDSA23413","1"
"375","CVE-2009-3274","VCDSA23394","1"
"376","CVE-2009-3281","VCDSA23389","1"
"377","CVE-2009-3282","VCDSA23389","1"
"378","CVE-2009-3286","VCDSA23378; VCDSA23374","2"
"379","CVE-2009-3370","VCDSA23394","1"
"380","CVE-2009-3372","VCDSA23394","1"
"381","CVE-2009-3373","VCDSA23394","1"
"382","CVE-2009-3374","VCDSA23394","1"
"383","CVE-2009-3375","VCDSA23394","1"
"384","CVE-2009-3376","VCDSA23394","1"
"385","CVE-2009-3380","VCDSA23394","1"
"386","CVE-2009-3382","VCDSA23394","1"
"387","CVE-2009-3547","VCDSA23379; VCDSA23378; VCDSA23374","3"
"388","CVE-2009-3548","VCDSA23418","1"
"389","CVE-2009-3555","VCDSA23418; VCDSA23414; VCDSA23413","3"
"390","CVE-2009-3556","VCDSA23378","1"
"391","CVE-2009-3560","VCDSA23405; VCDSA23374","2"
"392","CVE-2009-3563","VCDSA23378; VCDSA23374","2"
"393","CVE-2009-3612","VCDSA23378; VCDSA23374","2"
"394","CVE-2009-3613","VCDSA23378; VCDSA23374","2"
"395","CVE-2009-3620","VCDSA23378; VCDSA23374","2"
"396","CVE-2009-3621","VCDSA23378; VCDSA23374","2"
"397","CVE-2009-3707","VCDSA23377","1"
"398","CVE-2009-3720","VCDSA23405; VCDSA23374","2"
"399","CVE-2009-3726","VCDSA23378; VCDSA23374","2"
"400","CVE-2009-3728","VCDSA23395","1"
"401","CVE-2009-3729","VCDSA23395","1"
"402","CVE-2009-3731","VCDSA23393","1"
"403","CVE-2009-3732","VCDSA23377","1"
"404","CVE-2009-3733","VCDSA23391","1"
"405","CVE-2009-3736","VCDSA23378","1"
"406","CVE-2009-3767","VCDSA23413","1"
"407","CVE-2009-3864","VCDSA23395","1"
"408","CVE-2009-3865","VCDSA23395","1"
"409","CVE-2009-3866","VCDSA23395","1"
"410","CVE-2009-3867","VCDSA23395","1"
"411","CVE-2009-3868","VCDSA23395","1"
"412","CVE-2009-3869","VCDSA23395","1"
"413","CVE-2009-3871","VCDSA23395","1"
"414","CVE-2009-3872","VCDSA23395","1"
"415","CVE-2009-3873","VCDSA23395","1"
"416","CVE-2009-3874","VCDSA23395","1"
"417","CVE-2009-3875","VCDSA23395","1"
"418","CVE-2009-3876","VCDSA23395","1"
"419","CVE-2009-3877","VCDSA23395","1"
"420","CVE-2009-3879","VCDSA23395","1"
"421","CVE-2009-3880","VCDSA23395","1"
"422","CVE-2009-3881","VCDSA23395","1"
"423","CVE-2009-3882","VCDSA23395","1"
"424","CVE-2009-3883","VCDSA23395","1"
"425","CVE-2009-3884","VCDSA23395","1"
"426","CVE-2009-3885","VCDSA23395","1"
"427","CVE-2009-3886","VCDSA23395","1"
"428","CVE-2009-3889","VCDSA23378","1"
"429","CVE-2009-3939","VCDSA23378","1"
"430","CVE-2009-4020","VCDSA23378","1"
"431","CVE-2009-4021","VCDSA23378","1"
"432","CVE-2009-4022","VCDSA23374","1"
"433","CVE-2009-4138","VCDSA23378","1"
"434","CVE-2009-4141","VCDSA23378","1"
"435","CVE-2009-4212","VCDSA23402; VCDSA23378","2"
"436","CVE-2009-4272","VCDSA23378","1"
"437","CVE-2009-4308","VCDSA23418","1"
"438","CVE-2009-4355","VCDSA23378","1"
"439","CVE-2009-4536","VCDSA23424; VCDSA23378","2"
"440","CVE-2009-4537","VCDSA23378","1"
"441","CVE-2009-4538","VCDSA23378","1"
"442","CVE-2009-5029","VCDSA23441; VCDSA23437","2"
"443","CVE-2009-5064","VCDSA23441; VCDSA23437","2"
"444","CVE-2010-0001","VCDSA23378","1"
"445","CVE-2010-0003","VCDSA23418","1"
"446","CVE-2010-0007","VCDSA23418","1"
"447","CVE-2010-0008","VCDSA23418","1"
"448","CVE-2010-0082","VCDSA23418","1"
"449","CVE-2010-0084","VCDSA23418","1"
"450","CVE-2010-0085","VCDSA23418","1"
"451","CVE-2010-0087","VCDSA23418","1"
"452","CVE-2010-0088","VCDSA23418","1"
"453","CVE-2010-0089","VCDSA23418","1"
"454","CVE-2010-0090","VCDSA23418","1"
"455","CVE-2010-0091","VCDSA23418","1"
"456","CVE-2010-0092","VCDSA23418","1"
"457","CVE-2010-0093","VCDSA23418","1"
"458","CVE-2010-0094","VCDSA23418","1"
"459","CVE-2010-0095","VCDSA23418","1"
"460","CVE-2010-0097","VCDSA23378","1"
"461","CVE-2010-0205","VCDSA23412","1"
"462","CVE-2010-0211","VCDSA23416","1"
"463","CVE-2010-0212","VCDSA23416","1"
"464","CVE-2010-0290","VCDSA23378","1"
"465","CVE-2010-0291","VCDSA23418; VCDSA23403; VCDSA23402","3"
"466","CVE-2010-0296","VCDSA23427; VCDSA23425","2"
"467","CVE-2010-0307","VCDSA23418; VCDSA23403; VCDSA23402","3"
"468","CVE-2010-0382","VCDSA23378","1"
"469","CVE-2010-0405","VCDSA23408; VCDSA23414","2"
"470","CVE-2010-0410","VCDSA23418","1"
"471","CVE-2010-0415","VCDSA23418; VCDSA23403; VCDSA23402","3"
"472","CVE-2010-0425","VCDSA23412","1"
"473","CVE-2010-0426","VCDSA23378","1"
"474","CVE-2010-0427","VCDSA23378","1"
"475","CVE-2010-0433","VCDSA23418; VCDSA23413","2"
"476","CVE-2010-0434","VCDSA23412","1"
"477","CVE-2010-0437","VCDSA23418","1"
"478","CVE-2010-0547","VCDSA23405","1"
"479","CVE-2010-0622","VCDSA23418; VCDSA23403; VCDSA23402","3"
"480","CVE-2010-0624","VCDSA23411","1"
"481","CVE-2010-0686","VCDSA23375","1"
"482","CVE-2010-0730","VCDSA23418","1"
"483","CVE-2010-0734","VCDSA23418; VCDSA23413","2"
"484","CVE-2010-0740","VCDSA23418","1"
"485","CVE-2010-0787","VCDSA23405","1"
"486","CVE-2010-0826","VCDSA23413","1"
"487","CVE-2010-0830","VCDSA23441; VCDSA23437","2"
"488","CVE-2010-0837","VCDSA23418","1"
"489","CVE-2010-0838","VCDSA23418","1"
"490","CVE-2010-0839","VCDSA23418","1"
"491","CVE-2010-0840","VCDSA23418","1"
"492","CVE-2010-0841","VCDSA23418","1"
"493","CVE-2010-0842","VCDSA23418","1"
"494","CVE-2010-0843","VCDSA23418","1"
"495","CVE-2010-0844","VCDSA23418","1"
"496","CVE-2010-0845","VCDSA23418","1"
"497","CVE-2010-0846","VCDSA23418","1"
"498","CVE-2010-0847","VCDSA23418","1"
"499","CVE-2010-0848","VCDSA23418","1"
"500","CVE-2010-0849","VCDSA23418","1"
"501","CVE-2010-0850","VCDSA23418","1"
"502","CVE-2010-0886","VCDSA23418","1"
"503","CVE-2010-1083","VCDSA23427","1"
"504","CVE-2010-1084","VCDSA23418","1"
"505","CVE-2010-1085","VCDSA23418","1"
"506","CVE-2010-1086","VCDSA23418","1"
"507","CVE-2010-1087","VCDSA23418; VCDSA23403; VCDSA23402","3"
"508","CVE-2010-1088","VCDSA23418; VCDSA23403; VCDSA23402","3"
"509","CVE-2010-1137","VCDSA23375","1"
"510","CVE-2010-1138","VCDSA23377","1"
"511","CVE-2010-1139","VCDSA23377","1"
"512","CVE-2010-1140","VCDSA23377","1"
"513","CVE-2010-1141","VCDSA23377","1"
"514","CVE-2010-1142","VCDSA23377","1"
"515","CVE-2010-1157","VCDSA23418","1"
"516","CVE-2010-1168","VCDSA23411","1"
"517","CVE-2010-1173","VCDSA23418","1"
"518","CVE-2010-1187","VCDSA23418","1"
"519","CVE-2010-1188","VCDSA23424","1"
"520","CVE-2010-1193","VCDSA23375","1"
"521","CVE-2010-1205","VCDSA23412","1"
"522","CVE-2010-1321","VCDSA23428; VCDSA23418; VCDSA23402; VCDSA23411","4"
"523","CVE-2010-1323","VCDSA23427; VCDSA23422","2"
"524","CVE-2010-1324","VCDSA23422","1"
"525","CVE-2010-1436","VCDSA23418","1"
"526","CVE-2010-1437","VCDSA23418; VCDSA23403; VCDSA23402","3"
"527","CVE-2010-1447","VCDSA23411","1"
"528","CVE-2010-1634","VCDSA23405","1"
"529","CVE-2010-1641","VCDSA23418","1"
"530","CVE-2010-1646","VCDSA23413","1"
"531","CVE-2010-1870","VCDSA23420","1"
"532","CVE-2010-2054","VCDSA23428","1"
"533","CVE-2010-2059","VCDSA23405; VCDSA23419","2"
"534","CVE-2010-2063","VCDSA23411","1"
"535","CVE-2010-2066","VCDSA23418","1"
"536","CVE-2010-2070","VCDSA23418","1"
"537","CVE-2010-2089","VCDSA23405","1"
"538","CVE-2010-2226","VCDSA23418","1"
